3.498479887171874678e-03,4.659179837350802131e+02,1.194619228028916424e+01,7.284925203389823878e+01
3.497848314220191115e-03,4.812658079351037372e+02,1.003624538899744500e+01,9.116897411838168352e+01
3.497220513345331624e-03,6.333189429703169253e+02,9.879432633726365154e+00,9.813189356279551134e+01
3.496635120384696677e-03,5.963443818693796175e+02,9.919046654833662657e+00,1.000000000000000000e+02
3.496050215370049164e-03,5.543886153331052355e+02,1.010441505583610322e+01,9.949963006594151693e+01
3.495408841610929147e-03,4.343147722741410348e+02,9.985295476613417875e+00,8.531484618718995705e+01
3.494830421190253666e-03,4.794456890133225215e+02,1.006255308018802097e+01,9.677081678866586856e+01
3.494182170517512627e-03,4.256755910080690910e+02,9.983782176751152093e+00,7.714863993314030211e+01
3.493565454433748569e-03,6.428754154593068506e+02,9.981104522725370742e+00,8.633208528832498985e+01
3.492992138889541246e-03,4.374626760506683354e+02,9.954090938517074605e+00,8.653926359930984802e+01
3.492462684638685585e-03,5.050719494002087231e+02,9.955030124536001779e+00,9.478555856773751032e+01
3.491834559242578545e-03,4.188999399488035351e+02,1.000306320206682109e+01,8.821898453861555822e+01
3.491263794766432012e-03,5.077018677313096191e+02,9.974871747174235637e+00,8.922085739902762214e+01
3.490664844493791396e-03,4.759434986893012933e+02,9.944117055387039272e+00,1.000000000000000000e+02
3.490130171573558454e-03,4.635551463565520294e+02,1.005547212533046597e+01,8.236665253430081179e+01
3.491751689998860101e-03,5.538770377864289003e+02,1.007758116897463196e+01,8.337067328507565378e+01
3.494274359601323016e-03,3.687881368531215003e+02,9.978256052232913120e+00,7.679360127416549631e+01
3.501611979449863622e-03,4.724422217373113426e+02,9.936948767384492953e+00,7.630268949075846763e+01
3.506704887099241531e-03,4.275513391325991392e+02,1.000578027168638506e+01,8.718186288730107947e+01
3.517825618517733590e-03,4.288530799015961748e+02,9.982631634430914502e+00,8.637258273886936877e+01
3.546034333350830438e-03,5.226934599321687074e+02,9.949473290247780710e+00,7.543408955721254472e+01
3.581404307491725496e-03,6.124150985540585452e+02,1.021946562637779721e+01,8.871276216500466205e+01
3.624825348273920476e-03,6.107143736678406185e+02,1.047721228048794728e+01,9.855884400889588903e+01
3.657402130472692681e-03,4.760434350250084208e+02,1.055780377930270042e+01,7.665388622090465276e+01
3.694350850185368178e-03,4.646474363110708623e+02,1.078312587239740949e+01,7.590860779021467408e+01
3.770320734414941803e-03,5.529117545494841579e+02,1.219818570059506690e+01,9.474654060363765495e+01
3.836010570470633780e-03,4.924155801527663812e+02,1.272838783058737988e+01,8.193942126955059280e+01
3.900891342765211694e-03,4.696535215670526213e+02,1.293828705179849692e+01,6.781945655774308079e+01
3.954229286687088209e-03,5.862290610435333065e+02,1.274311563773944478e+01,8.302458724674568202e+01
4.000432280239486077e-03,5.622498876252623177e+02,1.240320267837045520e+01,1.000000000000000000e+02
4.073700030227685349e-03,5.205517009581842558e+02,1.293642911819531349e+01,7.774453041570846779e+01
4.098319881274413261e-03,5.395036567073486822e+02,1.216694086616608317e+01,8.884165732429273987e+01
4.107849845835147805e-03,4.592669763760525825e+02,1.147595250513322185e+01,9.481919478707663984e+01
