"t
[s]","Io
[W/m2]","vo
[m/s]","To
[°C]","Tsky
[°C]","To_n
[°C]","CO2o_ppm
[ppm]","dayNR
[-]",RH           [%]
3600,0.00,1.0,-7.1,-14.3,-7.242,320,1,96.3
7200,0.00,0.5,-7.5,-14.7,-7.639,320,1,96.3
10800,0.00,1.0,-8.4,-12.4,-8.564,320,1,95.4
14400,0.00,1.5,-9.8,-17.0,-9.889,320,1,97.2
18000,0.00,1.5,-10,-17.2,-10.059,320,1,98.1
21600,0.00,1.5,-10,-17.2,-10.088,320,1,97.2
25200,0.00,1.5,-10.1,-17.3,-10.217,320,1,96.3
28800,0.00,3.0,-9.8,-13.8,-9.889,320,1,97.2
32400,19.44,1.5,-9.3,-13.3,-9.485,320,1,94.5
36000,80.56,2.5,-8.8,-12.8,-8.960,320,1,95.4
39600,91.67,3.5,-7.6,-11.6,-7.599,320,1,100.0
43200,80.56,3.0,-6.6,-10.6,-6.820,320,1,94.4
46800,33.33,3.5,-5.8,-9.8,-5.993,320,1,95.3
50400,33.33,4.0,-5.4,-9.4,-5.597,320,1,95.3
54000,33.33,4.0,-4.9,-8.9,-4.981,320,1,98.1
57600,8.33,3.5,-4,-8.0,-4.257,320,1,94.3
61200,0.00,3.5,-3.4,-7.4,-3.621,320,1,95.3
64800,0.00,2.0,-2.9,-6.9,-3.128,320,1,95.2
68400,0.00,2.5,-2.5,-6.5,-2.733,320,1,95.2
72000,0.00,1.5,-2.3,-6.3,-2.488,320,1,96.2
75600,0.00,2.0,-1.8,-5.8,-1.993,320,1,96.2
79200,0.00,1.5,-1.9,-5.9,-2.092,320,1,96.2
82800,0.00,2.0,-1.8,-5.8,-1.993,320,1,96.2
86400,0.00,2.0,-1.7,-5.7,-1.894,320,1,96.2
90000,0.00,2.5,-1.2,-5.2,-1.449,320,2,95.2
93600,0.00,2.0,-1.4,-5.4,-1.647,320,2,95.2
97200,0.00,1.5,-2.2,-9.4,-2.389,320,2,96.2
100800,0.00,1.5,-2.5,-9.7,-2.733,320,2,95.2
104400,0.00,1.0,-1.8,-9.0,-1.993,320,2,96.2
108000,0.00,1.0,-2.9,-13.3,-3.128,320,2,95.2
111600,0.00,1.0,-3.3,-13.7,-3.523,320,2,95.2
115200,2.78,1.0,-1.4,-11.8,-1.647,320,2,95.2
118800,2.78,1.0,0.2,-10.2,-0.131,320,2,94.1
122400,8.33,1.5,1.1,-2.9,0.806,320,2,94.9
126000,16.67,1.0,1.3,-2.7,1.004,320,2,94.9
129600,38.89,1.0,1.6,-3.4,1.360,320,2,96.0
133200,194.44,2.5,1.4,-3.6,1.102,320,2,94.9
136800,147.22,2.0,1.4,-3.6,0.922,320,2,91.9
140400,147.22,1.5,0.2,-8.0,-0.293,320,2,91.2
144000,8.33,1.5,-0.9,-12.3,-1.358,320,2,91.4
147600,0.00,2.0,-1.8,-16.4,-2.188,320,2,92.3
151200,0.00,2.0,-1.9,-16.5,-2.286,320,2,92.3
154800,0.00,1.5,-1.5,-16.1,-2.243,320,2,85.6
158400,0.00,2.0,-2.1,-19.9,-2.481,320,2,92.4
162000,0.00,2.5,-1.7,-19.5,-2.090,320,2,92.3
165600,0.00,1.5,-1.8,-19.6,-2.188,320,2,92.3
169200,0.00,2.5,-1.6,-19.4,-1.992,320,2,92.3
172800,0.00,2.5,-1.6,-19.4,-1.992,320,2,92.3
176400,0.00,2.5,-1.5,-19.3,-1.844,320,3,93.3
180000,0.00,2.5,-1.4,-19.2,-1.746,320,3,93.3
183600,0.00,3.0,-1.5,-5.5,-1.844,320,3,93.3
187200,0.00,2.0,-1.4,-5.4,-1.746,320,3,93.3
190800,0.00,2.0,-1.1,-5.1,-1.452,320,3,93.3
194400,0.00,1.5,-1.1,-5.1,-1.452,320,3,93.3
198000,0.00,1.5,-1.4,-5.4,-1.647,320,3,95.2
201600,0.00,1.5,-1.3,-5.3,-1.548,320,3,95.2
205200,8.33,1.0,-1,-5.0,-1.353,320,3,93.3
208800,33.33,1.0,-0.5,-4.5,-0.810,320,3,94.2
212400,55.56,1.5,-0.2,-4.2,-0.621,320,3,92.3
216000,66.67,2.5,-1.7,-5.7,-1.992,320,3,94.3
219600,66.67,2.5,-2.2,-6.2,-2.484,320,3,94.3
223200,19.44,1.5,-1.9,-5.9,-2.189,320,3,94.3
226800,8.33,3.5,-1.5,-5.5,-1.844,320,3,93.3
230400,8.33,3.5,-1.8,-5.8,-2.090,320,3,94.3
234000,0.00,3.0,-2.4,-9.6,-2.681,320,3,94.3
237600,0.00,2.5,-2.5,-9.7,-2.826,320,3,93.3
241200,0.00,2.0,-2.6,-6.6,-2.925,320,3,93.3
244800,0.00,2.0,-2.9,-6.9,-3.128,320,3,95.2
248400,0.00,4.5,-3.1,-7.1,-3.416,320,3,93.3
252000,0.00,3.5,-3.9,-11.1,-4.159,320,3,94.3
255600,0.00,2.5,-4.8,-15.2,-5.087,320,3,93.4
259200,0.00,3.0,-5.3,-15.7,-5.578,320,3,93.4
262800,0.00,2.5,-5.5,-15.9,-5.696,320,4,95.3
266400,0.00,2.0,-5.6,-16.0,-5.795,320,4,95.3
270000,0.00,1.0,-5.8,-16.2,-5.993,320,4,95.3
273600,0.00,1.0,-6,-16.4,-6.229,320,4,94.4
277200,0.00,1.5,-6.1,-16.5,-6.327,320,4,94.4
280800,0.00,1.5,-6.1,-16.5,-6.327,320,4,94.4
284400,0.00,1.5,-6,-16.4,-6.305,320,4,92.5
288000,0.00,1.0,-5.8,-16.2,-5.993,320,4,95.3
291600,19.44,1.0,-5.7,-16.1,-5.894,320,4,95.3
295200,33.33,1.5,-5.8,-9.8,-5.993,320,4,95.3
298800,91.67,2.0,-5.7,-9.7,-5.894,320,4,95.3
302400,127.78,1.5,-6,-10.0,-6.229,320,4,94.4
306000,80.56,2.0,-4.7,-8.7,-4.988,320,4,93.4
309600,66.67,2.0,-4.3,-8.3,-4.638,320,4,92.4
313200,33.33,3.0,-4.5,-8.5,-4.750,320,4,94.3
316800,8.33,2.5,-4.7,-8.7,-4.988,320,4,93.4
320400,0.00,3.0,-4.7,-8.7,-4.988,320,4,93.4
324000,0.00,3.0,-4.9,-8.9,-5.185,320,4,93.4
327600,0.00,3.5,-5,-9.0,-5.283,320,4,93.4
331200,0.00,2.0,-6,-13.2,-6.229,320,4,94.4
334800,0.00,1.5,-7.1,-17.5,-7.350,320,4,93.5
338400,0.00,2.0,-8,-21.6,-8.236,320,4,93.5
342000,0.00,2.5,-7.5,-21.1,-7.639,320,4,96.3
345600,0.00,2.0,-7.3,-20.9,-7.546,320,4,93.5
349200,0.00,2.0,-8.1,-24.9,-8.334,320,5,93.5
352800,0.00,2.0,-7.7,-24.5,-7.940,320,5,93.5
356400,0.00,1.5,-7.6,-24.4,-7.842,320,5,93.5
360000,0.00,2.5,-7.4,-24.2,-7.540,320,5,96.3
363600,0.00,2.5,-7.5,-24.3,-7.743,320,5,93.5
367200,0.00,2.5,-8.7,-28.7,-8.958,320,5,92.6
370800,0.00,1.5,-9.9,-29.9,-10.168,320,5,91.7
374400,0.00,1.5,-9.7,-29.7,-9.971,320,5,91.7
378000,44.44,2.0,-9.2,-29.2,-9.449,320,5,92.6
381600,147.22,2.5,-7.6,-20.8,-7.842,320,5,93.5
385200,241.67,3.0,-6.9,-25.4,-7.116,320,5,94.4
388800,266.67,3.0,-7,-28.1,-7.759,320,5,80.4
392400,230.56,3.0,-6.6,-27.7,-7.080,320,5,87.8
396000,194.44,2.5,-6.4,-27.5,-6.961,320,5,86.0
399600,105.56,2.0,-7.3,-27.3,-7.795,320,5,87.0
403200,8.33,2.0,-7.5,-27.5,-7.918,320,5,88.8
406800,0.00,1.0,-9.6,-29.6,-9.965,320,5,89.0
410400,0.00,1.5,-9.5,-29.5,-9.837,320,5,89.9
414000,0.00,0.0,-9.5,-29.5,-9.837,320,5,89.9
417600,0.00,0.5,-11.5,-31.5,-11.767,320,5,90.9
421200,0.00,1.0,-11.6,-31.6,-11.865,320,5,90.9
424800,0.00,1.0,-12.5,-32.5,-12.773,320,5,90.1
428400,0.00,1.0,-13.6,-33.6,-13.875,320,5,89.3
432000,0.00,1.0,-13.8,-33.8,-14.071,320,5,89.3
435600,0.00,2.5,-10.7,-30.7,-10.982,320,6,90.9
439200,0.00,3.0,-9.8,-29.8,-10.070,320,6,91.7
442800,0.00,2.0,-10.8,-30.8,-11.080,320,6,90.9
446400,0.00,1.0,-11.7,-31.7,-11.989,320,6,90.1
450000,0.00,1.0,-11.5,-31.5,-11.767,320,6,90.9
453600,0.00,1.0,-11.4,-31.4,-11.669,320,6,90.9
457200,0.00,2.0,-10.3,-30.3,-10.648,320,6,89.0
460800,0.00,1.5,-10.3,-30.3,-10.999,320,6,78.1
464400,66.67,1.5,-10.2,-30.2,-10.550,320,6,89.0
468000,116.67,1.5,-10.4,-21.3,-10.746,320,6,89.0
471600,291.67,2.5,-9,-30.7,-9.348,320,6,89.9
475200,66.67,2.5,-8.2,-15.1,-8.701,320,6,86.1
478800,252.78,3.0,-6.9,-13.8,-7.481,320,6,85.0
482400,172.22,2.0,-6.5,-13.4,-7.170,320,6,83.2
486000,16.67,3.5,-7.2,-17.3,-7.878,320,6,82.3
489600,19.44,3.5,-8.1,-21.4,-8.706,320,6,83.3
493200,0.00,3.5,-7.9,-21.2,-8.479,320,6,84.2
496800,0.00,4.0,-8,-21.3,-8.576,320,6,84.2
500400,0.00,4.5,-8.3,-21.6,-8.898,320,6,83.3
504000,0.00,4.0,-7.7,-21.0,-8.391,320,6,81.4
507600,0.00,4.0,-6.2,-19.5,-6.959,320,6,81.3
511200,0.00,4.0,-5,-18.3,-5.734,320,6,83.0
514800,0.00,4.0,-4.4,-17.7,-5.203,320,6,82.0
518400,0.00,4.5,-4.4,-17.7,-5.203,320,6,82.0
522000,0.00,5.0,-3.8,-17.1,-4.720,320,7,80.1
525600,0.00,5.0,-3.4,-16.7,-4.296,320,7,81.0
529200,0.00,5.0,-2.8,-16.1,-3.586,320,7,83.8
532800,0.00,4.5,-2.1,-15.4,-2.868,320,7,84.7
536400,0.00,4.0,-1.4,-14.7,-1.846,320,7,91.4
540000,0.00,4.0,-0.5,-13.8,-0.810,320,7,94.2
543600,0.00,3.5,0.5,-12.8,-0.070,320,7,89.9
547200,0.00,6.0,0.9,-12.4,0.609,320,7,94.9
550800,19.44,7.5,1.3,-12.0,1.182,320,7,98.0
554400,33.33,6.0,2.3,-1.7,2.115,320,7,97.0
558000,80.56,7.0,2.4,-1.6,2.276,320,7,98.0
561600,91.67,7.0,3.1,-0.9,2.585,320,7,91.9
565200,80.56,5.5,4,0.0,3.801,320,7,97.0
568800,55.56,7.5,4.6,0.6,4.327,320,7,96.0
572400,33.33,6.5,5.1,1.1,4.541,320,7,91.9
576000,0.00,6.5,5.2,1.2,4.425,320,7,88.9
579600,0.00,6.5,4.6,-2.6,3.775,320,7,87.9
583200,0.00,6.5,5.3,-1.9,4.451,320,7,87.9
586800,0.00,6.5,5.2,-2.0,4.211,320,7,85.8
590400,0.00,6.5,5,-2.2,4.019,320,7,85.8
594000,0.00,6.5,4.7,-2.5,3.801,320,7,86.8
597600,0.00,6.0,4,0.0,3.600,320,7,93.9
601200,0.00,6.0,4,0.0,3.667,320,7,95.0
604800,0.00,7.0,4,0.0,3.667,320,7,95.0
608400,0.00,6.5,4.3,0.3,4.031,320,8,96.0
612000,0.00,4.5,4.4,0.4,3.993,320,8,93.9
615600,0.00,3.5,4.2,0.2,3.797,320,8,93.9
619200,0.00,4.0,4.3,0.3,3.895,320,8,93.9
622800,0.00,3.5,4.3,0.3,3.895,320,8,93.9
626400,0.00,2.5,4.1,0.1,3.833,320,8,96.0
630000,0.00,2.5,4,0.0,3.734,320,8,96.0
633600,8.33,2.5,4.2,0.2,3.932,320,8,96.0
637200,0.00,2.0,4.5,0.5,4.023,320,8,92.9
640800,0.00,2.0,4.2,0.2,3.932,320,8,96.0
644400,8.33,2.5,4.4,0.4,4.130,320,8,96.0
648000,33.33,3.0,4.8,0.8,4.594,320,8,97.0
651600,33.33,3.0,4.9,0.9,4.693,320,8,97.0
655200,33.33,3.0,4.8,0.8,4.594,320,8,97.0
658800,19.44,2.5,4.8,0.8,4.594,320,8,97.0
662400,8.33,2.5,4.8,0.8,4.387,320,8,93.9
666000,0.00,3.0,4.5,0.5,4.229,320,8,96.0
669600,0.00,2.0,3.8,-3.4,3.203,320,8,90.9
673200,0.00,2.5,3.4,-3.8,2.813,320,8,90.9
676800,0.00,2.5,3,-4.2,2.228,320,8,87.8
680400,0.00,2.5,2.1,-8.3,1.607,320,8,91.9
684000,0.00,2.0,1.5,-12.1,1.081,320,8,92.9
687600,0.00,2.0,1.1,-12.5,0.688,320,8,92.9
691200,0.00,2.5,1.2,-12.4,0.786,320,8,92.9
694800,0.00,3.5,0.7,-16.1,0.179,320,9,90.9
698400,0.00,3.0,-0.1,-20.1,-0.577,320,9,91.3
702000,0.00,2.5,-0.2,-20.2,-0.621,320,9,92.3
705600,0.00,2.5,-0.3,-20.3,-0.719,320,9,92.3
709200,0.00,2.5,-0.4,-20.4,-0.922,320,9,90.4
712800,0.00,2.0,-0.7,-20.7,-1.059,320,9,93.3
716400,0.00,2.0,-0.5,-20.5,-0.915,320,9,92.3
720000,0.00,2.0,-0.1,-20.1,-0.577,320,9,91.3
723600,44.44,2.5,0.6,-19.4,0.023,320,9,89.9
727200,55.56,2.5,1.5,-2.5,0.778,320,9,87.9
730800,66.67,3.0,2.4,-1.6,1.775,320,9,89.9
734400,80.56,2.5,3.3,-0.7,2.716,320,9,90.9
738000,66.67,2.5,3.3,-0.7,2.781,320,9,91.9
741600,44.44,2.5,3.9,-0.1,3.702,320,9,97.0
745200,44.44,2.5,4,0.0,3.934,320,9,99.0
748800,8.33,2.0,3.7,-0.3,3.569,320,9,98.0
752400,0.00,1.5,4.4,0.4,4.400,320,9,100.0
756000,0.00,2.0,4.6,0.6,4.532,320,9,99.0
759600,0.00,1.5,3.8,-3.4,3.669,320,9,98.0
763200,0.00,2.0,3.6,-3.6,3.470,320,9,98.0
766800,0.00,2.0,3.2,-4.0,3.007,320,9,97.0
770400,0.00,1.5,3.3,-3.9,2.912,320,9,93.9
774000,0.00,2.5,3.2,-4.0,2.813,320,9,93.9
777600,0.00,2.5,1.8,-8.6,1.497,320,9,94.9
781200,0.00,1.5,1.5,-8.9,1.201,320,10,94.9
784800,0.00,1.0,1.2,-9.2,0.905,320,10,94.9
788400,0.00,1.5,1.7,-8.7,1.277,320,10,92.9
792000,0.00,1.5,1.4,-9.0,0.922,320,10,91.9
795600,0.00,1.5,0.7,-12.9,0.412,320,10,94.9
799200,0.00,1.5,0.4,-13.2,0.173,320,10,96.0
802800,0.00,1.0,0,-13.6,-0.265,320,10,95.2
806400,8.33,0.0,-0.6,-17.4,-0.805,320,10,96.2
810000,33.33,0.0,-0.7,-17.5,-0.904,320,10,96.2
813600,116.67,0.5,1,-9.6,0.708,320,10,94.9
817200,194.44,0.5,3.6,-11.3,2.405,320,10,81.8
820800,219.44,1.0,5.4,-11.8,2.924,320,10,65.5
824400,230.56,1.5,7.8,-9.4,4.567,320,10,59.5
828000,172.22,1.0,7.5,-9.7,3.712,320,10,52.4
831600,105.56,1.5,5.6,-14.4,3.104,320,10,65.6
835200,8.33,1.5,3.9,-16.1,1.859,320,10,69.6
838800,0.00,1.5,3.3,-16.7,1.175,320,10,67.6
842400,0.00,1.5,3.6,-16.4,1.447,320,10,67.6
846000,0.00,1.5,3,-17.0,1.172,320,10,71.6
849600,0.00,2.0,2.4,-17.6,1.074,320,10,78.7
853200,0.00,2.0,2.8,-17.2,1.384,320,10,77.7
856800,0.00,1.5,2.7,-17.3,1.356,320,10,78.7
860400,0.00,1.5,1.3,-18.7,0.282,320,10,82.8
864000,0.00,1.0,1.4,-18.6,0.316,320,10,81.8
867600,0.00,1.0,0.7,-19.3,-0.388,320,11,81.1
871200,0.00,1.0,0.5,-19.5,-0.737,320,11,78.4
874800,0.00,2.0,0.6,-19.4,-0.760,320,11,76.4
878400,0.00,2.5,1.3,-18.7,-0.491,320,11,70.0
882000,0.00,3.0,1.5,-18.5,-0.376,320,11,68.9
885600,0.00,4.5,2.1,-17.9,-0.413,320,11,59.8
889200,0.00,4.5,3,-17.0,-0.184,320,11,51.5
892800,8.33,5.0,2.9,-17.1,-0.265,320,11,51.6
896400,33.33,5.5,5.3,-14.7,0.342,320,11,33.1
900000,138.89,6.5,6.4,-5.7,1.198,320,11,33.1
903600,127.78,7.0,5.5,-5.0,0.903,320,11,38.2
907200,172.22,6.0,6,-7.9,1.302,320,11,38.2
910800,252.78,5.5,7.6,-6.3,2.486,320,11,37.2
914400,219.44,7.0,7.4,-6.5,2.504,320,11,39.2
918000,116.67,6.0,6.5,-10.6,1.953,320,11,41.2
921600,19.44,4.5,5.1,-14.9,1.287,320,11,47.3
925200,0.00,4.5,4.9,-15.1,1.120,320,11,47.3
928800,0.00,4.0,4.4,-15.6,0.926,320,11,50.3
932400,0.00,4.5,4.2,-15.8,0.609,320,11,48.3
936000,0.00,3.5,4.1,-15.9,0.303,320,11,45.3
939600,0.00,3.5,3.8,-16.2,0.126,320,11,46.3
943200,0.00,4.0,3.9,-16.1,0.063,320,11,44.3
946800,0.00,4.0,2.4,-17.6,-0.544,320,11,53.8
950400,0.00,3.5,1.2,-18.8,-1.052,320,11,62.4
954000,0.00,3.0,0.9,-19.1,-1.249,320,12,63.5
957600,0.00,3.0,0,-20.0,-1.684,320,12,70.0
961200,0.00,3.0,-0.4,-20.4,-2.104,320,12,69.1
964800,0.00,3.5,-0.4,-20.4,-2.104,320,12,69.1
968400,0.00,3.0,-0.3,-20.3,-2.013,320,12,69.1
972000,0.00,2.5,-1.2,-21.2,-2.469,320,12,76.0
975600,0.00,2.0,-1.2,-21.2,-2.469,320,12,76.0
979200,8.33,1.5,-1.2,-21.2,-2.469,320,12,76.0
982800,55.56,2.0,-0.2,-20.2,-1.537,320,12,75.9
986400,116.67,2.5,1.5,-9.0,-0.198,320,12,71.8
990000,172.22,2.5,2.4,-10.8,0.620,320,12,71.6
993600,194.44,2.0,3.4,-11.9,1.403,320,12,69.6
997200,194.44,2.5,4.4,-10.9,2.243,320,12,68.6
1000800,172.22,2.0,4.8,-10.5,2.606,320,12,68.6
1004400,91.67,1.5,3.8,-14.7,2.115,320,12,74.7
1008000,8.33,1.5,2.8,-17.2,1.515,320,12,79.7
1011600,0.00,2.0,3.6,-16.4,1.998,320,12,75.7
1015200,0.00,2.0,3.5,-16.5,1.905,320,12,75.7
1018800,0.00,1.5,3,-17.0,1.836,320,12,81.8
1022400,0.00,1.0,2.6,-17.4,1.585,320,12,83.8
1026000,0.00,0.5,2.5,-17.5,1.490,320,12,83.8
1029600,0.00,1.5,2.2,-17.8,1.203,320,12,83.8
1033200,0.00,1.5,1.2,-18.8,0.607,320,12,89.9
1036800,0.00,2.0,1,-19.0,0.590,320,12,92.9
1040400,0.00,1.0,0.8,-19.2,0.685,320,13,98.0
1044000,0.00,1.0,1.1,-18.9,0.924,320,13,97.0
1047600,0.00,1.0,1.3,-18.7,1.182,320,13,98.0
1051200,0.00,1.5,1.6,-18.4,1.481,320,13,98.0
1054800,0.00,1.0,1.7,-2.3,1.580,320,13,98.0
1058400,0.00,1.0,1.7,-2.3,1.580,320,13,98.0
1062000,0.00,0.5,1.6,-2.4,1.481,320,13,98.0
1065600,8.33,1.0,1.9,-2.1,1.779,320,13,98.0
1069200,8.33,1.5,2.1,-1.9,1.978,320,13,98.0
1072800,66.67,1.5,2.3,-1.7,2.177,320,13,98.0
1076400,138.89,1.5,2.4,-8.6,2.276,320,13,98.0
1080000,205.56,1.5,3.6,-12.3,2.808,320,13,87.8
1083600,183.33,1.5,4.8,-11.1,3.114,320,13,75.7
1087200,163.89,1.5,5.9,-10.0,3.680,320,13,69.6
1090800,116.67,1.5,5.5,-10.4,3.541,320,13,72.6
1094400,33.33,1.5,4.6,-14.5,2.928,320,13,75.7
1098000,0.00,1.0,2.9,-17.1,1.872,320,13,83.8
1101600,0.00,1.0,2.2,-17.8,1.518,320,13,88.9
1105200,0.00,2.0,1.5,-18.5,0.595,320,13,84.8
1108800,0.00,1.5,1.1,-18.9,0.391,320,13,87.9
1112400,0.00,2.0,1.1,-18.9,0.391,320,13,87.9
1116000,0.00,2.0,0.9,-19.1,0.079,320,13,85.8
1119600,0.00,2.0,0.3,-19.7,-0.201,320,13,91.1
1123200,0.00,2.0,-0.8,-20.8,-1.106,320,13,94.2
1126800,0.00,1.5,-1.1,-21.1,-1.502,320,14,92.3
1130400,0.00,1.5,-1.6,-21.6,-1.893,320,14,94.3
1134000,0.00,2.0,-2,-22.0,-2.191,320,14,96.2
1137600,0.00,1.5,-2,-22.0,-2.384,320,14,92.3
1141200,0.00,1.0,-1.2,-21.2,-1.651,320,14,91.4
1144800,0.00,2.0,-1.1,-21.1,-1.655,320,14,89.4
1148400,0.00,2.5,-1.1,-21.1,-1.859,320,14,85.6
1152000,0.00,3.0,-1.8,-21.8,-2.729,320,14,81.8
1155600,44.44,3.5,-1.4,-21.4,-2.147,320,14,85.6
1159200,138.89,3.0,-0.3,-12.1,-1.144,320,14,84.6
1162800,194.44,2.5,1.4,-13.0,-0.168,320,14,73.8
1166400,219.44,2.5,2.7,-14.0,1.028,320,14,73.7
1170000,219.44,3.0,3.8,-12.9,1.698,320,14,68.6
1173600,163.89,3.0,3.6,-13.1,1.792,320,14,72.6
1177200,80.56,2.5,2.7,-17.2,1.094,320,14,74.7
1180800,19.44,2.0,2,-18.0,0.697,320,14,78.7
1184400,0.00,2.5,1.1,-18.9,0.091,320,14,82.8
1188000,0.00,2.0,1,-19.0,-0.118,320,14,80.9
1191600,0.00,2.0,0.8,-19.2,-0.298,320,14,81.0
1195200,0.00,2.5,0.4,-19.6,-0.548,320,14,83.3
1198800,0.00,2.5,0.3,-19.7,-0.584,320,14,84.3
1202400,0.00,2.5,0.3,-19.7,-0.584,320,14,84.3
1206000,0.00,2.0,1,-19.0,-0.004,320,14,82.8
1209600,0.00,2.5,1.2,-18.8,0.428,320,14,86.8
1213200,0.00,2.0,0.5,-19.5,0.214,320,15,94.9
1216800,0.00,2.0,0.6,-19.4,0.198,320,15,92.9
1220400,0.00,2.0,0.9,-19.1,0.019,320,15,84.8
1224000,0.00,2.0,1,-19.0,0.175,320,15,85.8
1227600,0.00,1.5,1.2,-18.8,0.488,320,15,87.9
1231200,0.00,1.5,1.5,-18.5,0.717,320,15,86.8
1234800,0.00,1.5,1.4,-18.6,0.681,320,15,87.8
1238400,0.00,1.5,1.2,-18.8,0.488,320,15,87.9
1242000,0.00,1.5,1.6,-18.4,0.875,320,15,87.9
1245600,19.44,1.5,2.2,-1.8,1.392,320,15,86.8
1249200,66.67,2.0,2.8,-1.2,2.035,320,15,87.8
1252800,80.56,1.5,3.6,-0.4,2.338,320,15,80.8
1256400,80.56,1.5,3.7,-0.3,2.905,320,15,87.9
1260000,44.44,1.5,3.3,-0.7,3.301,320,15,100.0
1263600,19.44,2.0,3.6,-0.4,3.273,320,15,95.0
1267200,8.33,1.5,3.5,-0.5,3.174,320,15,95.0
1270800,0.00,1.5,3.6,-0.4,3.404,320,15,97.0
1274400,0.00,1.5,3.4,-0.6,3.206,320,15,97.0
1278000,0.00,2.0,3.2,-0.8,3.007,320,15,97.0
1281600,0.00,2.0,3,-1.0,2.809,320,15,97.0
1285200,0.00,1.5,2.7,-1.3,2.575,320,15,98.0
1288800,0.00,1.5,2.7,-1.3,2.575,320,15,98.0
1292400,0.00,2.0,2.8,-1.2,2.674,320,15,98.0
1296000,0.00,2.0,2.7,-1.3,2.700,320,15,100.0
1299600,0.00,2.5,2.8,-1.2,2.674,320,16,98.0
1303200,0.00,2.5,2.8,-1.2,2.674,320,16,98.0
1306800,0.00,3.0,3.1,-0.9,2.908,320,16,97.0
1310400,0.00,4.0,3.4,-0.6,3.206,320,16,97.0
1314000,0.00,4.5,3.5,-0.5,3.305,320,16,97.0
1317600,0.00,4.0,3.6,-0.4,3.404,320,16,97.0
1321200,0.00,5.5,3.7,-0.3,3.371,320,16,94.9
1324800,0.00,4.0,3.8,-0.2,3.470,320,16,95.0
1328400,8.33,5.0,3.8,-0.2,3.603,320,16,97.0
1332000,8.33,5.5,4.1,0.1,3.900,320,16,97.0
1335600,19.44,5.0,4.4,0.4,4.198,320,16,97.0
1339200,19.44,6.0,4.7,0.7,4.288,320,16,93.9
1342800,19.44,6.0,4.6,0.6,4.327,320,16,96.0
1346400,44.44,4.5,5.1,1.1,4.611,320,16,92.9
1350000,44.44,5.0,5.1,1.1,4.400,320,16,89.9
1353600,0.00,3.5,4.9,0.9,3.994,320,16,86.8
1357200,0.00,2.5,3.8,-3.4,3.337,320,16,92.9
1360800,0.00,2.5,3.3,-3.9,2.977,320,16,95.0
1364400,0.00,3.0,3.1,-4.1,2.908,320,16,97.0
1368000,0.00,1.5,2.9,-4.3,2.710,320,16,97.0
1371600,0.00,2.0,2.8,-4.4,2.484,320,16,95.0
1375200,0.00,2.5,3.4,-3.8,3.075,320,16,94.9
1378800,0.00,3.0,3.4,-3.8,3.075,320,16,94.9
1382400,0.00,2.5,3.1,-4.1,2.780,320,16,95.0
1386000,0.00,2.0,2.8,-4.4,2.611,320,17,97.0
1389600,0.00,2.5,2.7,-4.5,2.512,320,17,97.0
1393200,0.00,2.5,2.6,-4.6,2.412,320,17,97.0
1396800,0.00,2.5,2.7,-4.5,2.512,320,17,97.0
1400400,0.00,3.0,2.9,-4.3,2.518,320,17,93.9
1404000,0.00,2.5,2.7,-4.5,2.385,320,17,94.9
1407600,0.00,3.5,2.8,-4.4,2.420,320,17,93.9
1411200,8.33,4.0,2.8,-4.4,2.420,320,17,93.9
1414800,19.44,4.0,2.9,-4.3,2.582,320,17,94.9
1418400,33.33,3.5,3.2,-0.8,2.878,320,17,94.9
1422000,44.44,3.5,3.6,-0.4,3.273,320,17,95.0
1425600,44.44,4.0,3.8,-0.2,3.603,320,17,97.0
1429200,33.33,4.5,3.8,-0.2,3.603,320,17,97.0
1432800,33.33,3.0,3.9,-0.1,3.834,320,17,99.0
1436400,19.44,2.0,4,0.0,3.934,320,17,99.0
1440000,8.33,2.0,4.1,0.1,4.034,320,17,99.0
1443600,0.00,2.5,4.1,0.1,4.034,320,17,99.0
1447200,0.00,3.5,4.2,0.2,4.134,320,17,99.0
1450800,0.00,2.5,3.7,-0.3,3.503,320,17,97.0
1454400,0.00,2.0,3.6,-0.4,3.404,320,17,97.0
1458000,0.00,2.5,3,-4.2,2.873,320,17,98.0
1461600,0.00,2.0,2.6,-4.6,2.412,320,17,97.0
1465200,0.00,1.5,3,-4.2,2.681,320,17,95.0
1468800,0.00,2.0,3.2,-4.0,3.007,320,17,97.0
1472400,0.00,1.5,2.2,-8.2,2.016,320,18,97.0
1476000,0.00,1.0,1,-12.6,0.884,320,18,98.0
1479600,0.00,1.0,-0.8,-17.6,-1.727,320,18,82.7
1483200,0.00,1.0,-0.5,-17.3,-1.125,320,18,88.5
1486800,0.00,1.5,1,-15.8,0.825,320,18,97.0
1490400,0.00,2.0,1,-15.8,0.884,320,18,98.0
1494000,0.00,2.0,-0.2,-20.2,-0.410,320,18,96.2
1497600,0.00,3.0,-0.3,-20.3,-0.561,320,18,95.2
1501200,66.67,4.5,-0.7,-20.7,-0.956,320,18,95.2
1504800,80.56,4.5,-0.5,-4.5,-0.758,320,18,95.2
1508400,138.89,3.5,0.1,-3.9,-0.225,320,18,94.1
1512000,266.67,4.5,1.9,-17.2,1.288,320,18,89.9
1515600,241.67,4.5,2.7,-18.3,1.810,320,18,85.8
1519200,241.67,4.5,3.6,-17.4,2.338,320,18,80.8
