Wall time,Step,Value
1713420789.2930572,3840,-16.5518798828125
1713420794.0099857,7680,-16.02149200439453
1713420798.6282063,11520,-15.381665229797363
1713420803.3380513,15360,-14.848199844360352
1713420828.926001,19200,-6.061671733856201
1713420878.077083,23040,-0.14351676404476166
1713420927.5145566,26880,0.9248235821723938
1713420997.3833044,30720,1.9948899745941162
1713421048.873895,34560,2.4285688400268555
1713421099.9972398,38400,2.1560399532318115
1713421150.138098,42240,2.487145185470581
1713421200.377331,46080,2.974381923675537
1713421250.0133119,49920,3.104043483734131
1713421299.2668183,53760,2.738959789276123
1713421350.2951639,57600,3.027086019515991
1713421400.2914543,61440,3.3045804500579834
1713421450.7193003,65280,3.3652539253234863
1713421499.4478478,69120,3.514981985092163
1713421549.8405313,72960,3.374181032180786
1713421603.2744544,76800,3.6877856254577637
1713421653.2184024,80640,3.7481508255004883
1713421702.533519,84480,3.809054374694824
1713421754.7878952,88320,3.6822714805603027
1713421807.0418806,92160,3.8575618267059326
1713421859.6029508,96000,3.721827507019043
1713421913.198562,99840,3.9629123210906982
1713421966.5228002,103680,3.7771759033203125
1713422020.2545154,107520,3.9193122386932373
1713422073.0876355,111360,3.8087358474731445
1713422124.8805737,115200,3.992643117904663
1713422178.5232654,119040,4.007268905639648
1713422233.928396,122880,4.043457984924316
1713422290.0055387,126720,4.075614929199219
1713422349.4652638,130560,4.2176127433776855
1713422410.2694573,134400,4.1623640060424805
1713422470.3958793,138240,4.1436872482299805
1713422533.816183,142080,4.134805679321289
1713422594.826005,145920,4.279566764831543
1713422655.313871,149760,4.3545823097229
1713422715.3555093,153600,4.370967388153076
1713422775.7274685,157440,4.435793399810791
1713422837.230751,161280,4.409985065460205
1713422902.1538858,165120,4.451000690460205
1713422963.6036792,168960,4.469987392425537
1713423019.8088179,172800,4.469018459320068
1713423075.1277823,176640,4.483090877532959
1713423130.5146368,180480,4.494355201721191
1713423187.1392965,184320,4.499488830566406
1713423243.8203905,188160,4.505599498748779
1713423299.1760805,192000,4.505594253540039
